id,question,answer,exam,section
430,What does an SAS (Shared access signature) token provide?,"controlled, time-limited, anonymous access to services and resources in a storage account. You don't need to provide any additional credentials",azure-dp-900,simple
431,What type of situations are SAS tokens useful in?,Where you don't know in advance which users will require access to your resources.,azure-dp-900,simple
432,What other type of autentication does AzCopy support?,using Azure Active Directory,azure-dp-900,simple
433,How do you create an SAS token?,"n the page for your storage account, under Settings , select Shared access signature . On the Shared access signature page, under Allowed services , select File . Under Allowed resource types , select Container and Object . Under Permissions , select the privileges that you want to grant to users. Set the start and end time for the SAS token, and specify the IP address range of the computers your users will be using. Select Generate SAS and connection string to create the SAS token. Copy the value in the SAS token field somewhere safe.",azure-dp-900,simple
434,What other operations does the AzCopy support?,"deleting files and blobs, listing files and blobs and creating new files shares.",azure-dp-900,simple
435,Example of AzCopy file,"azcopy copy ""myfile.txt"" ""https://&lt;storage-account-name&gt;.file.core.windows.net/&lt;file-share-name&gt;/myfile.txt&lt;SAS-token&gt;""",azure-dp-900,simple
437,What is the process of combining all local data sources known as?,data warehousing,azure-dp-900,simple
438,What is the process of analysing streaming data an ddata from the internet known as?,Big Data Analytics,azure-dp-900,simple
439,What does Azure Synapse Analytics combine?,data warehousing with Big Data Analytics,azure-dp-900,simple
440,What is the focus of data warehouse?,"Provide answers to complex queries, unlike a traditional relations database.",azure-dp-900,simple
441,What is the term Big Data use for?,"large quantities of data collecting in escalating volumes, at higher velocities, and in a greater variety of formats then every before.",azure-dp-900,simple
443,What must any modern warehouse solution must be able to provide access to?,"The streams of raw data, and and the cooked business infor derived from this data.",azure-dp-900,simple
444,What is Azure Data Factore described as?,A data integration service,azure-dp-900,simple
445,What is the purpose of Azure Data Factory?,"retrieve data from one or more data sources, and convert it into a format that you process.",azure-dp-900,simple
446,What does Azure Data factory enable you to do?,"extract the interesting data, and discard the rest",azure-dp-900,simple
447,"if data might contain dates and times formatted in different ways in different data sources, what can you use Azure Data Factor to do?",Transform these items into a single uniform structure which Azure Data Factory can then write the ingested data store for subsequent processing.,azure-dp-900,simple
448,How do you define the work deifined by Azure Data Factory?,A pipeline of operations,azure-dp-900,simple
449,How can Azure Data Factory pipeline run?,"Continuously, as data is received from the various dat sources.",azure-dp-900,simple
450,How can you create Azure Data Factory pipelines?,"Using a GUI provided by MS, or by writing your own code.",azure-dp-900,simple
452,What is a data lake?,repository for large quantities for raw data,azure-dp-900,simple
453,What can you think for a data lake as?,"Starting point for your ingested data, before it's massaged and converted into a formate suitable for performing analytics.",azure-dp-900,simple
454,What does a data lake hold vs a data warehouse?,"A data lake holds raw data, but a data warehouse holds structured information",azure-dp-900,simple
455,What does Azure Data Lake Storage combine?,The hierarchical directory structure and file system semantics or traditional file system with security and scalability provided by Azure.,azure-dp-900,simple
456,What is Azure Data Lake Storage essentially an extension of?,"Azure Blob storage, organized as a near-infinite file system.",azure-dp-900,simple
457,What 3 characteristics does Azure Data Lake Store have?,-Organize your files int directories and subdirectories for improved file organization. Blob storage can only mimic a directory structure -Supports the POSIX files and directory permissions - Compatible with HDFS,azure-dp-900,simple
458,"In Azure Data Servioce data ware solution, how is data typically loaded?",Into Azure Data Lake Storage before being processed into a structure that enables efficient analysis in Azure Synapse Analytics,azure-dp-900,simple
460,What type of enviroment is Azure DataBricks?,"Apache Spark environment running on Azure to provide big data processing, streaming, and machine learning.",azure-dp-900,simple
461,What is Apache Spark?,highly efficient data processing engine that can consume an dprocess large amounts of data very quickly.,azure-dp-900,simple
462,What can Spark libraries perform?,"tasks such as SQL processing, aggregations, and to build and train machine learning models using your data.",azure-dp-900,simple
463,Using the Azure Databricks GUI what can you do?,"define and test your processing step by step, before submitting it as a set of batch tasks.",azure-dp-900,simple
464,What languages can you create data and query data using?,"R, Python, and Scala",azure-dp-900,simple
465,What do you write Spark code using?,notebooks,azure-dp-900,simple
466,What does a notebook contain?,"cells, each of which contains a separate block of code.",azure-dp-900,simple
467,What can you do using Synapse Analytics?,"ingest data from external sources, such as flat files, Azure Data lake, or other DBMS, and then transfrom and aggregate this data intoe a format suitable for analytics processing",azure-dp-900,simple
468,What does Azure Synapse Analytics leverage?,MPP architecture which includes a control node and a pool of compute nodes,azure-dp-900,simple
469,Where does the MPP engine run on and why?,On the control node to optimize and coordinate parallel queries.,azure-dp-900,simple
470,"When submitting a processing request, what does the Control node do in Azure Synapse Analytics?",it transforms it into smaller requests that run agasint distinct subsets of the data in parallel.,azure-dp-900,simple
471,What does the Compute node do?,Provide the computational power. The data to be processed is distributed evenly across the nodes. User and apps send processing requests to the control node.,azure-dp-900,simple
472,Where does the control node send the queries?,"to the compute node, which run the queries over the portion of the data that they bhold.",azure-dp-900,simple
473,"When each node has finished its processing, where are the results sent?",Back to the control node where they're combined into an overall result.,azure-dp-900,simple
474,What 2 computational model does Azure Synapse Analytics support?,SQL Pools Spark pools,azure-dp-900,simple
476,How do you submit queries to Azure Synapse Analytics?,In the form of Transact-SQL statements,azure-dp-900,simple
477,What can Azure Synapse Analytics receive data from?,A wide variety of sources,azure-dp-900,simple
478,What technology is used by Azure Synapse Analytics to receive data?,Polybase,azure-dp-900,simple
479,What does Polybase enable to to retrieve?,"data from relational and non-relational sources, such as delimited text files, Azure Blob Storage and Azure Data Lake Storage.",azure-dp-900,simple
480,When is the only time you can scale a SQL pool?,When it is not running a Transact-SQL query.,azure-dp-900,simple
481,"In a spark pool, what are the nodes replaced with?",A spark cluster,azure-dp-900,simple
482,What do you run Spark jobs comprising code written in.?,"Notebooks, in the same way as Azure Databricks.",azure-dp-900,simple
483,What languages can you write code for a notebook?,"C#, Python, Scala or Spark SQL",azure-dp-900,simple
484,"As with a SQL pool, what does the Spark cluster do?",splits the work out into a series of parallel tasks that can be performed concurrently.,azure-dp-900,simple
485,Where can you save data generated by your notebooks?,In Azure Storage or Data Lake Storage,azure-dp-900,simple
486,What is Spark optimised for?,"Memory processing. A Spark job can load and cached data into memory and query it repeatedly. In memory computing is much faster than disk-based apps, but requires additional memory resources.",azure-dp-900,simple
487,What does Spark pool autoscaling allow?,pool scale by adding removing nodes as needed. Autoscaling can occur while processing is active.,azure-dp-900,simple
488,"Since Azure Synapse Analytics consumes a lot of resources, what shold you do inf you aren't planning any processing for a while?","Pause the service, as this action releases the resources in teh pool to other users, and reduces your costs.",azure-dp-900,simple
489,What does Azure Analysis Services enable you to build?,Tabular models to support OLAP?,azure-dp-900,simple
490,With Azure Analysis Services what can you combine data from?,"multiple sources, including Azure SQL DB, Azure Synapse Analytics, Azure Data Lake store, Azure Cosmos DB and many others.",azure-dp-900,simple
491,What is Azure Analysis Services model?,"A set of queries and expressions thatn retrieve data from various data sources and generate results. The results can be cached in-memory for later user, or they can be calculated dynamicallly, directly from the underlying data sources.",azure-dp-900,simple
492,"Although Azure Analysis Services has significant overlap with Azure Synapse Analytics, what is it more suited for?",Processing on a smaller scale,azure-dp-900,simple
493,"Comparing Azure Synapse Analytics vs Azure Analysis services, what is Azure Synapse Analytics use for?","Very high volumes of data (multi-terabyte to petabyte sized datasets)., Very complex queries and aggregations., Data mining, and data exploration., Complex ETL operations. ETL stands for Extract, Transform, and Load, and refers to the way in which you can retrieve raw data from multiple sources, convert this data into a standard format, and store it., Low to mid concurrency (128 users or fewer)",azure-dp-900,simple
494,When comparing Analysis Services with Synapse Analytics what should Azure Analysis Services better for?,"Smaller volumes of data (a few terabytes)., Multiple sources that can be correlated., High read concurrency (thousands of users)., Detailed analysis, and drilling into data, using functions in Power BI., Rapid dashboard development from tabular data.",azure-dp-900,simple
495,How can many scenarios benefit from using Synapse Analytics and Analysis Services together?,"If you have large amounts of ingested data that require preprocessing, you can use Synapse Analytics to read this data and manipulate it into a model that contains business information rather than a large amount of raw data. The scalability of Synapse Analytics gives it the ability to process and reduce many terabytes of data down into a smaller, succinct dataset that summarizes and aggregates much of this data. You can then use Analysis Services to perform detailed interrogation of this information, and visualize the results of these inquiries with Power BI.",azure-dp-900,simple
496,What is the definition of Azure HDInsight?,"Azure HDInsight is a big data processing service, that provides the platform for technologies such as Spark in an Azure environment.",azure-dp-900,simple
497,What kind of model does HDInsight?,A clustered model that distributes processing across a set of computers.,azure-dp-900,simple
498,What is the clustered model for HDInsight similar to?,"That used by Synapse Analytics, except that the nodes are running the Spark processing engine rather than Azure SQL Database.",azure-dp-900,simple
499,What streaming technologies does HDInsight support?,"Apache Kafka, and the Apache Hadoop processing model.",azure-dp-900,simple
500,What type of framework is Hadoop?,"open source framework that breaks large data processing down into smaller chunks and distributes them across a cluster of servers, similar to the way in which Synapse Analytics operates.",azure-dp-900,simple
501,What is the definition of Hive?,"SQL-like query facility that you can use with HDInsight cluster to examine data held in a variety of formats. You can use it to create, load, and query external tables, in a manner similar to PolyBase for Azure Synapse Analytics.",azure-dp-900,simple
503,Definition of Data ingestion?,process used to load data from one or more sources into a data store.,azure-dp-900,simple
504,What are the 2 methods that Data can be ingested?,Batch processing or Streaming,azure-dp-900,simple
505,What is the first part of any data warehousing solution.?,Data ingestion,azure-dp-900,simple
506,"In a big data system, what does data ingestion need to be?","fast enough to capture the large quantities data that may be heading your wayu, and have enough compute power to process this data in a timely manner.",azure-dp-900,simple
507,What are 4 popular tools used for data loading?,Azure Data Factory PolyBase SQL Server Integration Services Azure Databricks.,azure-dp-900,simple
508,What is Azure Data Factory and how does it work?,"Data integration and transformation service that allows you to load raw data from many different sources, both on-premises and in the cloud.",azure-dp-900,simple
509,What can Azure Data Factor do as it ingests the data?,"clean, transform, and restructure the data, before loading it into a repository such as a data warehouse.",azure-dp-900,simple
510,What does Data Factory contain a series of?,Interconnected systems that provide a complete end-to-end platform for data engineers.,azure-dp-900,simple
511,What kind of engind does Data Factory provide?,An orchestration engine.,azure-dp-900,simple
512,What is Orchestration the process of?,"directing and controlling other services, and connecting them togeher, to allow data to flow between them.",azure-dp-900,simple
513,What does Data Factory use orchestration to do?,combine and automate sequences of tasks that use different services to perform complex operations,azure-dp-900,simple
514,What are 3 example resources that Azure Data Factory uses?,linked services datasets pipelines,azure-dp-900,simple
515,What does a linked service provide for Data Factory?,provides the info needed for Data Factory to connect to a source and destination,azure-dp-900,simple
516,Give an example of a linked service with Data Factory.,"Use and Azure Blob Storage linked service to connect a storage account to Data Factory, or the Azure SQL Database linked service to connect to a SQL Database",azure-dp-900,simple
517,To create a linked service for Azure Blob Storage what information does you need to provide.,"The name of the Azure subscription that owns the storage account, the name of the storage account , and the info necessary to authenticate against the storage account.",azure-dp-900,simple
518,What does a dataset in Azure Data Factory represent?,The data taht you want to ingest(input) or store (output),azure-dp-900,simple
519,What is a pipeline a logical group of?,Activities that together perform a task.,azure-dp-900,simple
520,What do activities in a pipeline define?,Actions to perform on your data.,azure-dp-900,simple
522,What does Polybase enable you to run Transact-SQL Queries against?,read data from external data sources.,azure-dp-900,simple
523,What does PolyBase make external source appear like?,tables in a SQL Database.,azure-dp-900,simple
524,Give examples of 7 systems that data ca be managed from?,-Hadoop -Spark -Azure Blob Storage Other DBMSs -Cosmos DB -Oracle -Teradata -MongoDB,azure-dp-900,simple
525,What kind of engine is Spark?,A parallel procesing engine that support large-scale analytics,azure-dp-900,simple
526,Does Azure SQL Database support PolyBase?,No,azure-dp-900,simple
528,What utility allows you to run your existing SSIS packages as part of pipeline in the cloud?,Azure Data Factory,azure-dp-900,simple
529,What is the SSIS Feature Pack for Azure?,"An extension that provides components that connect Azure services, transfer data between Azure and on-premises dta sources, an dprocess data stored in Azure.",azure-dp-900,simple
531,What is Azure Databricks?,An analytics platform optimized for the Microsoft Azure cloud services platform.,azure-dp-900,simple
532,What is Databricks based on?,"Spark, and is integrated with Azure to streamline workflows. it provides and interactive workspace that enables collaboration between data scientists, data engineers, and business analysts.",azure-dp-900,simple
533,What types of storage can Databricks process data in?,"Azure Blob storage, Azure Data Lake Store, Hadoop storage, flat files, SQL Databases, and data warehouses, and Azure services such as Cosmos DB.",azure-dp-900,simple
534,Can Databricks process streaming data.?,"Yes, for example you could capture data being streamed from sensors and other devices.",azure-dp-900,simple
535,What are notebooks?,Write and run Spark code.,azure-dp-900,simple
536,What is the definition of a notebook?,"A program that contains a series of steps (called cells). A notebook can contain cells that read data from one or more data sources, process the data, and write the results out to a data store.",azure-dp-900,simple
537,What does the scalability for Azure Databricks make it an ideal platform for?,performing complex data ingestion and analytics tasks.,azure-dp-900,simple
538,What can Azure Data Factory incorporate and what does this mean?,Azure Databricks notebooks into a pipeline. A pipeline can pass parameters to a notebook. These parameters can specify which data to read and analyze.,azure-dp-900,simple
540,What does the term big data refer to?,Data that is too large or complex for traditional database systems.,azure-dp-900,simple
541,What doe systems that process big data have to perform?,"Rapid data ingestion and processing; they must have capacity to store the results, and sufficient compute power to perform analytics over these results.",azure-dp-900,simple
542,"Using Apache Sparek and automated pipelines, what must Synapse Analytics do?","Run parallel processing tasks across massive datasets, and perform big data analytics.",azure-dp-900,simple
543,What types of service is Azure Synapse Analytics?,"A generalised analytics service which you can use to read data from many sources, process this data, generate various analyses, and save the results",azure-dp-900,simple
544,What 2 technologies can you use to process data for Azure Synapse Analytics?,Transact-SQL Spark,azure-dp-900,simple
545,How do you write your analytical code using fopr Spark in Azure Synapse Analytics?,"Using notebooks in a programming language such as C#, Scala, Python or SQL.",azure-dp-900,simple
546,What do Spark libraries provided with Azure Synapse Analytics enable you to do?,"Read data from external sources, and also write out data in a variety of different formats if you need to save your results for further analysis.",azure-dp-900,simple
547,What type of architecture does Azure Synapse Analytics use?,A clustered architecture.,azure-dp-900,simple
548,What is a control node?,"Each cluster has a control node that is used as the entry point to the system. When you run Transact-SQL statements or start Spark jobs from a notebook, the request is sent to the control node.",azure-dp-900,simple
549,What does the control node run in Azure Spark Analytics?,Runs a parallel processing engine that splits the operation into a set of task that can be run concurrently. Each task performs part of the workload over a subset of the source data. Each task is sent to a compute node to actually do the processing. 4.3.2,azure-dp-900,simple
550,What does the control node gather for Azure Synapse Analytics?,Gather the results from the compute nodes and combines them into an overall result.,azure-dp-900,simple
552,What is the definition of Azure Databricks?,An analytics platform optimized for the MS Azure cloud services platform,azure-dp-900,simple
553,What type of storage can Databrick process?,"many types including Azure Blob Storage, Azure Data Lake Store, Hadoop storage, flat files, databases, and data warehouses.",azure-dp-900,simple
554,What is the processing engine for Azure DataBricks provided by?,Apache Spark,azure-dp-900,simple
555,What does Spark do with the work in Azure Databricks?,distributes the work across a cluster of computers and can process its data in parallel with other computers. The strategy helps to reduce the time required to perform the work.,azure-dp-900,simple
556,"In Azure Databricks, what languages can write Spark application code in?","Python, R, Scala, java and SQL.",azure-dp-900,simple
557,What do you write Databricks applications using?,A Notebook.,azure-dp-900,simple
558,What does a notebook contain a series of?,"A series of steps (cells), each of which contains a block of code.",azure-dp-900,simple
559,Give examples of what notebook cells might contain in databricks?,"one cell might contain the code that connects to a data source, the next cell reads the data from that source and converts it into a model in-memory, the next cell plots a graph, and a final cell saves the data from the in-memory model to a repository.",azure-dp-900,simple
561,What is Azure HDInsight base on and what is it a collection of?,"It's based on Apache Hadoop, a collection of open-source tools and utilities that enable you to run processing tasks over large amounts of data.",azure-dp-900,simple
562,What kind of model does HDInsight use?,"A clustered model, similar to that of Synapse Analytics",azure-dp-900,simple
563,Where does HDInsight store data?,Azure Data Lake storage,azure-dp-900,simple
564,What frameworks can you use to analyse data in HDInsight?,"Hadoop Map/Reduce, Apache Spark, Apache Hive, Apache Kafka, Apache Storm, R, and more.",azure-dp-900,simple
565,What framework does the Hadoop Map/Reduce?,"Hadoop Map/Reduce uses a simple framework to split a task over a large dataset into a series of smaller tasks over subsets of the data that can be run in parallel, and the results then combined",azure-dp-900,simple
566,What has Hadoop Map/Reduce been replaced by?,"Spark, which offers a more advanced set of operations and a simpler interface.",azure-dp-900,simple
567,How can you write Spark jobs?,"As part of an application, or you can use interactive notebooks.",azure-dp-900,simple
568,Are the notebooks for HDInsight the same as Azure Databricks?,yes,azure-dp-900,simple
569,What does Apache Hive provide?,"interactive SQL-like facilities for querying, aggregating, and summarising data.",azure-dp-900,simple
570,What happens with Apache Hive SQL queries?,"Converted into tasks, and parallelised. Each task can run on a separate node in the HDInsight cluster, and the results are combined before being returned to the user.",azure-dp-900,simple
571,What types of service is Apache Kafka in in HDInsight?,clustered streaming service that can ingest data in real time,azure-dp-900,simple
572,How do you define Apache Storm in HDInsight?,"scalable, fault tolerant platform for running real-time data processing applications",azure-dp-900,simple
573,What can storm process?,high volumes of streaming data using comparitively modest computational requirements,azure-dp-900,simple
574,What is storm designed for in HDInsight and what can it provide in re: to processing of data?,"Storm is designed for reliability, so that events shouldn't be lost. Storm solutions can also provide guaranteed processing of data, with the ability to replay data that wasn't successfully processed the first time",azure-dp-900,simple
575,What kind of sources can Stoim interoperate with?,"Storm can interoperate with a variety of event sources, including Azure Event Hubs, Azure IoT Hub, Apache Kafka, and RabbitMQ (a message queuing service).",azure-dp-900,simple
576,What type of Data stores can Storm` write to and how are they written?,"Storm can also write to data stores such as HDFS, Hive, HBase, Redis, and SQL databases. You write a Storm application using the APIs provided by Apache.",azure-dp-900,simple
578,What type of services it Azure Data Factory?,"Azure Data Factory is a service that can ingest large amounts of raw, unorganized data from relational and non-relational systems, and convert this data into meaningful information",azure-dp-900,simple
579,What does Azure Data Factory provide and what can it be used to implement?,"Data Factory provides a scalable and programmable ingestion engine that you can use to implement complex hybrid extract-transform-load (ETL), extract-load-transform (ELT), and data integration projects.",azure-dp-900,simple
580,"What can Azure Data Factory , create and schedule and for what?","you can create and schedule data-driven workflows (called pipelines) that can ingest data from the disparate data stores used by the gaming company. You can build complex ETL processes that transform data visually with data flows or by using compute services such as Azure HDInsight, Azure Databricks, and Azure SQL Database. You can then publish the transformed data to Azure Synapse Analytics for business intelligence applications to consume.",azure-dp-900,simple
581,What is a pipeline a logical grouping of?,Logical grouping of activities that performs a unit of work.,azure-dp-900,simple
582,"In ADF, what do the activities in a pipleline perform and give an example","A pipeline is a logical grouping of activities that performs a unit of work. Together, the activities in a pipeline perform a task. For example, a pipeline might contain a series of activities that ingests raw data from Azure Blob storage, and then runs a Hive query on an HDInsight cluster to partition the data and store the results in a Cosmos DB database.",azure-dp-900,simple
583,What 3 elements does an Azure Data Lake comprise.?,- Data Lake Store - Data Lake Analytics - HDInsight,azure-dp-900,simple
584,What does a Data Lake Store provide?,A file system that can store near limitless quantities of data.,azure-dp-900,simple
585,What types of storeage to Data Lake have?,"hierarchichal organization, but you can hold massive amounts of raw data (blobs) and structure data.",azure-dp-900,simple
586,How does Azure Data Lake Store provide granular security over data.?,"Using Access Control Lists. An Access Control List specifies which accounts can access which files and folders in the store. If you are more familiar with Linux, you can use POSIX-style permissions to grant read, write, and search access based on file ownership and group membership of users.",azure-dp-900,simple
587,What type of job is Data Lake Analytics and what does it provide?,"an on-demand analytics job service that you can use to process big data. It provides a framework and set of tools that you use to analyze data held in Microsoft Azure Data Lake Store, and other repositories.",azure-dp-900,simple
588,What language to define a job as in Data Lake Analytics.?,U-SQL,azure-dp-900,simple
589,What type of language is U-SQL.?,"This is a hybrid language that takes features from both SQL and C#, and provides declarative and procedural capabilities that you can use to process data.",azure-dp-900,simple
590,What can U-SQL job output results to?,"a single CSV file, partition the results across multiple files, or can write to other destinations.",azure-dp-900,simple
591,What does Azure Synapse analytics provide?,a suite of tools to analyze and process an organization's data.,azure-dp-900,simple
592,What suite of tools does Azure Synapse Analytics incorporate?,"It incorporates SQL technologies, Transact-SQL query capabilities, and open-source Spark tools to enable you to quickly process very large amounts of data.",azure-dp-900,simple
593,What are the 5 components of Azure Synapse Analytics?,- Synapse SQL pool - Synapse Spark pool - Synapse Pipelines - Synapse Link - Synapse Studio,azure-dp-900,simple
594,What is the Azure Synapse SQL pool?,"This is a collection of servers running Transact-SQL. Transact-SQL is the dialect of SQL used by Azure SQL Database, and Microsoft SQL Server. You write your data processing logic using Transact-SQL",azure-dp-900,simple
595,What is the Synapse Spark pool and how do you write your data?,"This is a cluster of servers running Apache Spark to process data. You write your data processing logic using one of the four supported languages: Python, Scala, SQL, and C# (via .NET for Apache Spark).",azure-dp-900,simple
596,How do Spark pools support Azure Machine Learning?,through integration with the SparkML and Azure ML packages,azure-dp-900,simple
597,What is an Azure Synapse Pipeline?,Synapse pipeline is a logical grouping of activities that together perform a task. The activities in a pipeline define actions to perform on your data.,azure-dp-900,simple
598,What does the Azure Synapse Link allow you to do?,Connect to Cosmos DB. You can use it to perform near real-time analytics over teh operational dat stored in a Cosmos database.,azure-dp-900,simple
599,What is Synapse Studio?,A web user interfact that enables data engineers to access all the Synapse Analytics tools.,azure-dp-900,simple
600,"When you send Transact-SQL to a control node in SQL Pools, what happens?","The control node splits up the work into queries that operation over a subset of the data, and then sends these smaller queries to the compute nodes.",azure-dp-900,simple
601,"In SQL pools, what is the data split into?",chunks called distributions,azure-dp-900,simple
602,What is a distribution in a SQL pool?,the basic unit of storage and processing for parallel queries that run on distributed data. Each of the smaller queries runs on one of the data distributions.,azure-dp-900,simple
603,"In SQL pools, what does the control and compute nodes use the Data movement Service to do?",move data across the nodes as necessary to run queries in parallel and return accurate results.,azure-dp-900,simple
604,What does Synapse Analytics use Polybase to do?,make external data look like SQL tables,azure-dp-900,simple
605,What size of datasets is Azure Synapse Analytics run over?,massive datasets,azure-dp-900,simple
606,In Azure Synapse Analytics how many nodes can you scale the SQL pool to?,60 nodes,azure-dp-900,simple
607,"In Azurfe Synapse Analytics, if you don't need a SQL pool for a while what should you do and why?",Pausing releases the resources associated with the pool. You aren't charged for resources until you manually resume the pool.,azure-dp-900,simple
608,"If you pause a SQL pool, can you instantly run queries if you resume it?","Yes, but it can take several minutes.",azure-dp-900,simple
610,What are 2 scenarios to use SQL pools in Synapse Analytics?,"Complex reporting. You can use the full power of Transact-SQL to run complex SQL statements that summarize and aggregate data. , Data ingestion. PolyBase enables you to retrieve data from many external sources and convert it into a tabular format. You can reformat this data and save it as tables and materialized views in Azure Synapse.",azure-dp-900,simple
611,What does Synapse Spare run their clusters on?,Apache Spark rather than Azure SQL database,azure-dp-900,simple
612,What do you write your Spark pools analytiss jobs using?,Notebooks,azure-dp-900,simple
613,What is code written in for notebooks?,"Python, Scala, C#, or Spark SQL (this is a different dialect from Transact-SQL). You can combine code written in multiple languages in the same notebook.",azure-dp-900,simple
614,6 example formats that spark pools allow you to process data in?,"csv, json, xml, parquet, orc, and avro Spark can be extended to support many more formats with external data sources.",azure-dp-900,simple
615,What doe spark pools provide the basic building blocks for?,performing in-memory cluster computing,azure-dp-900,simple
616,"Since Spark pools can have autoscaling enabled, what does this mean?","pools scale by adding or removing nodes as needed. Also, Spark pools can be shut down with no loss of data since all the data is stored in Azure Storage or Data Lake Storage.",azure-dp-900,simple
617,What are the 2 scenarios that Spark pools in Synapse Analytics especially suitable for?,- Data Engineering/Data Preparation - Machine Learning,azure-dp-900,simple
618,What is the Machine Learning library for Apache Spark?,MLib - a machine learning library built on top of Spark that you can use from a Spark pool in Synapse Analytics.,azure-dp-900,simple
619,What Data Integration engine does Synapse pipelines use?,"Azure Data Factory . This gives you the power in Synapse Studio to create pipelines that can connect to over 90 sources from flat files, databases, or online services.",azure-dp-900,simple
621,What is Azure Synapse Link and what does it enable you to do?,a cloud-native hybrid transactional and analytical processing (HTAP) capability that enables you to run near real-time analytics over operational data stored in Azure Cosmos DB.,azure-dp-900,simple
622,What feature of Cosmos DB does Synapse link use?,Cosmos DB Analytical Store,azure-dp-900,simple
623,What does Cosmos DB Analytical store contain?,"a copy of the data in a Cosmos DB container, but organized as a column store.",azure-dp-900,simple
624,What are column stores are a more optimal format for?,"running analytical workloads that need to aggregate data down a column rather than across a row, such as generating sum totals, averages, maximum or minimum values for a column.",azure-dp-900,simple
625,What does Azure Synapse link enable you to run workloads to do?,"retrieve data directly from Cosmos DB and run analytics workloads using Azure Synapse Analytics. The data doesn't have to go through an ETL (extract, transform, and load) process because the data isn't copied into Synapse Analytics; it remains in the Cosmos DB analytical store.",azure-dp-900,simple
626,"What can Business analysts, data engineers, and data scientists can now use Synapse Spark pools or Synapse SQL pools to run?","to run near real-time business intelligence, analytics, and machine learning pipelines. You can achieve this without impacting the performance of your transactional workloads on Azure Cosmos DB.",azure-dp-900,simple
627,Give 5 examples of Synapse link,- Supply chain analytics - Operational reporting - Batch data integration and orchestration - Real-time personalization -IoT Maintenance,azure-dp-900,simple
628,What can the Synapse use for Supply chain analytics and forecasting?,query operational data directly and use it to build machine learning models. You can use the results generated by these models back into Cosmos DB for near-real-time,azure-dp-900,simple
629,What can you Synapse analytics for Operational reporting?,use Synapse Analytics to query operational data using Transact-SQL running in a SQL pool. You can publish the results to dashboards using the support provided to familiar tools such as Microsoft Power BI.,azure-dp-900,simple
630,"For Synapse link, what can you use Batch data integration and orchestration","With supply chains getting more complex, supply chain data platforms need to integrate with a variety of data sources and formats. The Azure Synapse data integration engine allows data engineers to create rich data pipelines without requiring a separate orchestration engine.",azure-dp-900,simple
631,How can you use Synapse link with Real-time personalization?,ou can build engaging ecommerce solutions that allow retailers to generate personalized recommendations and special offers for customers in real time.,azure-dp-900,simple
632,How can you use Synapse Link with IoT maintenance?,Industrial IoT innovations have drastically reduced downtimes of machinery and increased overall efficiency across all fields of industry. One such innovation is predictive maintenance analytics for machinery at the edge of the cloud. The historical operational data from IoT device sensors could be used to train predictive models such as anomaly detectors. These anomaly detectors are then deployed back to the edge for real-time monitoring. Looping back allows for continuous retraining of the predictive models.,azure-dp-900,simple
633,What does Synapse studio enable you to do?,web interface that enables you to create pools and pipelines interactively.,azure-dp-900,simple
634,What is Power Bi a collection of?,"software services, apps, and connectors that work together to turn your unrelated sources of data into coherent, visually immersive, and interactive insights",azure-dp-900,simple
635,What 3 elements does Power BI consist of?,"Mcrosoft Windows desktop application called Power BI Desktop , an online SaaS ( Software as a Service ) service called the Power BI service , and mobile Power BI apps that are available on any device",azure-dp-900,simple
636,What might you view reports and dashboards using?,Power BI service,azure-dp-900,simple
637,Who might Power BI Desktop be used by and what?,"number-crunching, business-report-creating coworker",azure-dp-900,simple
638,What is the common flow of work in Power BI.?,"begins in Power BI Desktop , where a report is created. That report is then published to the Power BI service and finally shared, so that users of Power BI Mobile apps can consume the information",azure-dp-900,simple
639,What is the common flow of activity for Power BI?,"Bring data into Power BI Desktop, and create a report., Publish to the Power BI service, where you can create new visualizations or build dashboards., Share dashboards with others, especially people who are on the go., View and interact with shared dashboards and reports in Power BI Mobile apps.",azure-dp-900,simple
640,What are the 5 basic building blocks in Power BI?,"Visualizations, Datasets, Reports, Dashboards, Tiles",azure-dp-900,simple
641,What is a visualization in PowerBI?,"representation of data, like a chart, a color-coded map, or other interesting things you can create to represent your data visually.",azure-dp-900,simple
642,"For PowerBI datasets, is it from a single source of data?","No, you can create a dataset from three database fields, one website table, an Excel table, and online results of an email marketing campaign. That unique combination is still considered a single dataset , even though it was pulled together from many different sources.",azure-dp-900,simple
643,"In Power BI, what is a report?","collection of visualizations that appear together on one or more pages. Just like any other report you might create for a sales presentation or write for a school assignment, a report in Power BI is a collection of items that are related to each other.",azure-dp-900,simple
644,What is a power BI Dashboard?,"collection of visuals from a single page that you can share with others. Often, it's a selected group of visuals that provide quick insight into the data or story you're trying to present.",azure-dp-900,simple
645,What is a Power BI tile?,"single visualization on a report or a dashboard. It's the rectangular box that holds an individual visual. In the following image, you see one tile, which is also surrounded by other tiles.",azure-dp-900,simple
647,What is an app?,"collection of preset, ready-made visuals and reports that are shared with an entire organization.",azure-dp-900,simple
648,"With Power BI, how do you connect to data?",select the Get Data button in the lower-left corner of the home page.,azure-dp-900,simple
649,What are a collection of visuals called?,An app,azure-dp-900,simple
652,When picking an element to pivot what should you choose?,An element than can be run through a group by statement that will generate 15 or fewer columns,azure-dp-900,simple
